provincia,municipio,lat,lon,fecha,tmax,tmin,precip,viento
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-07-07,9.4,0.4,0.0,14.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-07-08,8.5,-1.2,0.0,9.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-07-09,7.7,-3.2,0.0,11.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-07-10,7.9,-3.9,0.0,9.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-07-11,10.7,-3.0,0.0,11.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-07-12,12.8,-3.2,0.0,10.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-07-13,12.0,-2.8,0.0,12.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-07-14,11.8,-0.7,0.0,13.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-07-15,16.0,-0.3,0.0,15.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-07-16,15.9,4.0,0.0,15.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-07-17,17.1,4.6,0.0,12.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-07-18,18.9,7.3,0.0,16.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-07-19,14.2,8.4,0.0,24.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-07-20,10.3,6.1,3.8,20.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-07-21,13.1,9.4,0.0,14.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-07-22,17.9,5.4,0.0,18.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-07-23,20.6,8.1,0.2,18.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-07-24,20.4,12.9,12.4,16.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-07-25,18.9,8.5,0.0,15.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-07-26,18.9,5.6,0.0,12.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-07-27,17.2,3.7,0.0,15.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-07-28,14.3,3.8,0.0,12.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-07-29,11.0,-1.2,0.0,11.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-07-30,12.5,1.8,0.0,20.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-07-31,18.2,6.8,0.0,25.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-08-01,23.8,15.7,1.7,23.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-08-02,28.9,21.7,0.1,34.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-08-03,20.1,9.8,35.1,29.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-08-04,17.8,5.5,0.0,13.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-08-05,15.6,7.8,0.3,17.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-08-06,17.3,12.3,1.2,26.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-08-07,13.3,7.5,0.0,26.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-08-08,8.2,5.1,5.2,31.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-08-09,9.9,1.1,0.0,22.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-08-10,15.9,2.3,0.0,21.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-08-11,14.2,6.7,0.0,33.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-08-12,12.8,2.2,0.0,15.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-08-13,17.3,5.5,0.0,19.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-08-14,18.5,5.9,0.0,14.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-08-15,20.0,5.3,0.0,14.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-08-16,13.6,6.1,0.0,18.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-08-17,16.9,8.2,0.0,20.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-08-18,15.9,7.8,1.1,16.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-08-19,13.6,8.5,0.0,27.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-08-20,12.2,4.5,12.6,26.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-08-21,13.2,9.4,5.2,22.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-08-22,10.5,7.9,0.6,24.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-08-23,12.7,1.8,0.0,15.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-08-24,12.0,2.4,1.4,12.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-08-25,12.5,1.9,0.0,14.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-08-26,14.4,1.7,0.0,15.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-08-27,18.0,3.4,0.0,10.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-08-28,18.9,4.6,0.0,16.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-08-29,18.7,6.6,0.0,20.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-08-30,11.9,8.9,14.7,27.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-08-31,11.3,9.0,43.1,32.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-09-01,16.2,6.7,0.0,27.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-09-02,19.2,8.0,0.0,24.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-09-03,17.1,9.1,0.2,22.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-09-04,19.3,6.3,0.0,16.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-09-05,17.0,3.8,0.0,21.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-09-06,20.5,11.2,0.0,21.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-09-07,22.3,7.8,0.0,11.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-09-08,22.8,7.1,0.0,17.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-09-09,20.8,10.1,0.2,17.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-09-10,21.3,10.2,0.0,23.3
