provincia,municipio,lat,lon,fecha,tmax,tmin,precip,viento
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-08-25,27.1,12.7,0.0,11.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-08-26,27.3,12.3,19.9,21.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-08-27,17.5,7.4,4.5,27.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-08-28,12.2,2.5,0.0,19.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-08-29,15.6,2.2,0.0,16.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-08-30,18.1,5.0,0.4,17.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-08-31,22.5,10.4,0.0,13.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-09-01,21.4,11.8,0.1,26.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-09-02,16.7,6.5,0.0,27.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-09-03,18.9,3.0,0.0,10.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-09-04,21.8,7.5,0.0,18.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-09-05,23.3,5.8,0.0,14.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-09-06,22.7,7.2,0.0,18.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-09-07,26.7,11.2,0.0,21.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-09-08,22.9,10.6,12.2,30.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-09-09,14.1,6.3,0.0,27.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-09-10,18.3,1.9,0.0,10.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-09-11,18.7,5.7,0.0,12.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-09-12,19.8,5.0,0.0,11.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-09-13,21.3,6.2,0.0,11.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-09-14,23.0,6.5,0.0,14.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-09-15,23.4,9.2,0.0,20.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-09-16,25.0,11.1,0.0,27.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-09-17,27.0,14.8,0.0,27.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-09-18,25.7,15.9,0.3,20.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-09-19,19.7,12.2,1.2,26.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-09-20,17.0,6.7,0.1,16.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-09-21,18.4,10.8,3.0,14.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-09-22,17.7,6.8,0.9,24.5
